Date,Symbols,Close,High,Low,Open,Volume
2020-03-12,PFE,27.1566,28.9485,27.14,27.5734,65791185.757811
2020-03-12,BNTX,28.2788,30.1063,27.734,28.7146,185820.11272075
2020-03-12,MRNA,22.3,24.28,21.9,22.8997,11305347.0
2020-03-13,GOOGL,60.7135,60.72,55.6145,58.7495,79399460.0
2020-03-13,PFE,29.5915,29.7448,27.3469,28.2877,63506551.206697
2020-03-13,BNTX,30.6362,31.6762,28.9127,29.715,199544.48104721
2020-03-13,MRNA,21.3,23.47,19.31,23.0,11853052.0
2020-03-16,GOOGL,53.65,57.2735,53.354,54.4805,96519620.0
2020-03-16,PFE,27.302,29.206,26.8219,27.0854,53482363.03363
2020-03-16,BNTX,39.62,52.2985,37.639,48.8911,1954508.959175
2020-03-16,MRNA,26.49,27.8,22.22,23.76,39850785.0
2020-03-17,GOOGL,55.903,56.3,52.455,54.532,83193720.0
2020-03-17,PFE,29.0938,29.536,27.6718,28.6244,56865205.226305
2020-03-17,BNTX,65.9674,75.2781,55.478,64.3826,2967999.1431754
2020-03-17,MRNA,28.18,32.7,27.3148,29.36,44484144.0
2020-03-18,GOOGL,54.5595,55.2495,51.85,52.997,93044760.0
2020-03-18,PFE,29.2753,29.5008,27.4191,27.8359,46025455.568505
2020-03-18,BNTX,91.1261,104.003,81.4277,89.5314,3056028.336017
2020-03-18,MRNA,31.58,32.54,26.55,27.13,28702290.0
2020-03-19,GOOGL,55.5835,57.6305,52.7775,54.411,74064960.0
2020-03-19,PFE,27.5186,29.1758,27.1478,29.1465,62738657.063797
2020-03-19,BNTX,58.7367,82.5374,58.4396,82.4097,1613854.0646373
2020-03-19,MRNA,28.27,34.98,25.19,32.78,36952753.0
2020-03-20,GOOGL,53.4105,56.9239,53.105,56.545,82877940.0
2020-03-20,PFE,26.2432,27.7461,26.1524,27.3937,55049113.214587
2020-03-20,BNTX,46.0583,54.4776,43.2453,54.428,1185225.5047157
2020-03-20,MRNA,28.2,30.23,26.2,29.25,16522449.0
2020-03-23,GOOGL,52.7065,53.3455,50.4435,52.8185,83672580.0
2020-03-23,PFE,25.7728,26.7604,25.2223,26.0177,55430971.464775
2020-03-23,BNTX,50.8226,59.4102,49.8321,58.4396,1003734.5145037
2020-03-23,MRNA,26.57,29.81,26.25,28.71,11080845.0
2020-03-24,GOOGL,56.5005,56.6665,54.3215,55.199,72468700.0
2020-03-24,PFE,26.8687,27.184,26.1436,26.696,46635670.091707
2020-03-24,BNTX,53.1305,58.4297,47.5639,58.3405,585292.71906734
2020-03-24,MRNA,25.82,27.25,24.36,27.09,12550494.0
2020-03-25,GOOGL,55.081,57.3085,54.1505,56.229,90323240.0
2020-03-25,PFE,26.9116,27.79,26.2353,26.6872,46776708.819912
2020-03-25,BNTX,46.7516,53.175,46.7516,53.1206,336570.09284211
2020-03-25,MRNA,27.13,27.98,24.79,25.0,9651543.0
2020-03-26,GOOGL,58.146,58.574,54.6015,55.736,76688440.0
2020-03-26,PFE,28.7229,28.9396,27.0308,27.0405,45391404.812673
2020-03-26,BNTX,54.4776,55.2204,49.525,51.506,477073.74266002
2020-03-26,MRNA,27.94,28.79,27.56,27.56,5585886.0
2020-03-27,GOOGL,55.513,57.5525,55.2001,56.3735,62793220.0
2020-03-27,PFE,27.9539,28.7132,27.7363,27.8623,40157987.893964
2020-03-27,BNTX,54.4776,54.8738,50.8325,54.3092,248636.81106356
2020-03-27,MRNA,30.05,31.09,27.95,28.37,12408297.0
2020-03-30,GOOGL,57.3155,57.55,54.9245,56.632,58736540.0
2020-03-30,PFE,29.5554,29.7135,28.0887,28.0887,31404039.75107
2020-03-30,BNTX,61.4111,63.8378,58.4792,59.4301,596884.83302382
2020-03-30,MRNA,30.48,31.69,28.27,30.59,10749923.0
2020-03-31,GOOGL,58.0975,58.67,56.836,57.4365,65279420.0
2020-03-31,PFE,29.5261,29.8521,29.1612,29.3105,30906733.266776
2020-03-31,BNTX,57.8453,61.4111,56.4586,59.2914,245722.12433717
2020-03-31,MRNA,29.95,30.98,29.2,30.6,6027880.0
2020-04-01,GOOGL,55.105,56.471,54.6745,56.2,51970380.0
2020-04-01,PFE,28.7229,29.2022,28.5239,28.8762,28012360.671188
2020-04-01,BNTX,52.4173,57.6422,51.9815,55.8147,261594.9004758
2020-04-01,MRNA,29.67,30.94,29.44,30.05,7004587.0
2020-04-02,GOOGL,55.8515,56.1385,54.6565,55.0,56410680.0
2020-04-02,PFE,29.7359,29.8521,28.7229,28.8577,28512941.025453
2020-04-02,BNTX,56.3694,56.3892,52.4966,54.9728,248254.17640152
2020-04-02,MRNA,33.2,33.39,29.84,30.6,15934404.0
2020-04-03,GOOGL,54.635,55.9395,53.754,55.7355,51373880.0
2020-04-03,PFE,30.4328,30.6592,29.5173,29.5173,34438969.472706
2020-04-03,BNTX,52.2489,57.4292,51.516,57.4292,229480.84779843
2020-04-03,MRNA,34.84,35.66,32.72,32.81,16896224.0
2020-04-06,GOOGL,59.1595,59.5377,56.25,56.65,63319820.0
2020-04-06,PFE,31.2741,31.5726,30.5596,30.6856,42478724.162387
2020-04-06,BNTX,52.2291,55.0719,51.9023,54.9728,334360.10003156
2020-04-06,MRNA,34.64,35.185,33.33,34.91,10841594.0
2020-04-07,GOOGL,59.128,61.0388,58.8625,60.8505,61619100.0
2020-04-07,PFE,30.4045,31.8176,30.3869,31.6624,25407985.325751
2020-04-07,BNTX,45.1668,49.7231,43.582,49.525,1475742.1338547
2020-04-07,MRNA,32.02,34.03,30.9801,33.81,10104337.0
2020-04-08,GOOGL,60.35,60.745,59.1977,60.155,40334260.0
2020-04-08,PFE,31.3013,31.4828,30.2521,30.749,26768892.597425
2020-04-08,BNTX,44.523,47.6431,44.0873,47.6431,827642.81234593
2020-04-08,MRNA,32.42,32.94,31.7501,32.36,4119844.0
2020-04-09,GOOGL,60.3285,61.0995,59.6208,60.909,54028460.0
2020-04-09,PFE,32.0156,32.3563,31.5268,31.6887,32213104.730134
2020-04-09,BNTX,44.9786,52.4966,44.5725,51.516,1497238.3270581
2020-04-09,MRNA,31.86,32.92,31.32,32.55,4861753.0
2020-04-13,GOOGL,60.5205,60.726,59.1166,60.075,38702560.0
2020-04-13,PFE,31.7882,32.5485,31.4077,32.53,19161271.324201
2020-04-13,BNTX,41.3138,45.9493,40.6105,45.5829,889152.09146093
2020-04-13,MRNA,32.9,32.98,31.71,32.0,5603883.0
2020-04-14,GOOGL,63.2615,63.7875,61.4271,61.9987,63357240.0
2020-04-14,PFE,32.9643,33.137,31.964,32.5026,22910840.237218
2020-04-14,BNTX,41.2346,43.5622,41.0067,43.4038,872165.73740086
2020-04-14,MRNA,34.66,34.99,33.15,34.0,8126897.0
2020-04-15,GOOGL,62.865,63.7555,61.7,62.3255,42236840.0
2020-04-15,PFE,32.5388,32.7759,32.1864,32.6197,22351730.87549
2020-04-15,BNTX,38.2135,40.8483,37.7678,40.5115,990029.32838981
2020-04-15,MRNA,37.25,38.45,33.72,34.64,15682994.0
2020-04-16,GOOGL,62.8715,63.6679,61.91,63.357,57895140.0
2020-04-16,PFE,32.4588,32.8023,32.1816,32.6764,21664989.769813
2020-04-16,BNTX,38.4215,38.8871,36.6485,38.3918,857509.51737768
2020-04-16,MRNA,40.6,41.55,36.62,38.0735,20670718.0
2020-04-17,GOOGL,63.95,64.5,63.3,64.085,51056480.0
2020-04-17,PFE,33.3897,33.4718,32.6675,33.0209,25595181.009456
2020-04-17,BNTX,40.4223,41.3107,38.506,39.9172,1017951.5628171
2020-04-17,MRNA,46.85,49.0,43.38,48.99,32285976.0
